"chr","tss","refseq_id","gene_symbol"
"chr5",139937678,"NM_001035235","SRA1"
"chr22",19466738,"NM_001035247","UFD1"
"chr9",130742812,"NM_001035254","EEIG1"
"chr10",70883908,"NM_001035260","VPS26A"
"chr12",56510374,"NM_001035267","RPL41"
"chr2",74375039,"NM_001035505","BOLA3"
"chr2",27274491,"NM_001035507","AGBL5"
"chr1",161284166,"NM_001035511","SDHC"
"chr19",35992813,"NM_001035516","DMKN"
"chr2",27579901,"NM_001035521","GTF3C2"
"chr9",130341286,"NM_001035534","NIBAN2"
"chr15",33603163,"NM_001036","RYR3"
"chr19",35521592,"NM_001037","SCN1B"
"chr16",1464721,"NM_001037125","UNKL"
"chr7",132937823,"NM_001037126","EXOC4"
"chr2",236402733,"NM_001037131","AGAP1"
"chr7",107880614,"NM_001037132","NRCAM"
"chr17",7835442,"NM_001037144","CNTROB"
"chr2",10220538,"NM_001037160","CYS1"
"chr14",74003928,"NM_001037161","ACOT1"
"chr14",74083548,"NM_001037162","ACOT6"
"chr7",6388590,"NM_001037163","FAM220A"
"chr7",12726452,"NM_001037164","ARL4A"
"chr7",4721930,"NM_001037165","FOXK1"
"chr3",140950667,"NM_001037172","PXYLP1"
"chr2",152685009,"NM_001037174","ARL5A"
"chr1",223537544,"NM_001037175","SUSD4"
"chr11",64739563,"NM_001037225","MAJIN"
"chr19",37407193,"NM_001037232","ZNF829"
"chr1",235491753,"NM_001037277","GGPS1"
"chr16",67694851,"NM_001037281","PARD6A"
"chr7",2394474,"NM_001037283","EIF3B"
"chr14",23846017,"NM_001037288","CMTM5"
"chr11",112047089,"NM_001037290","BCO2"
"chr11",134123260,"NM_001037304","THYN1"
"chr3",183993799,"NM_001037324","ECE2"
"chr17",63822661,"NM_001037325","CEP112"
"chr20",47804904,"NM_001037328","STAU1"
"chr11",6260322,"NM_001037329","CNGA4"
"chr17",18625402,"NM_001037330","TRIM16L"
"chr18",73139658,"NM_001037331","SMIM21"
"chr18",158483,"NM_001037334","USP14"
"chr20",62205592,"NM_001037335","HELZ2"
"chr1",66797791,"NM_001037339","PDE4B"
"chrX",18460344,"NM_001037343","CDKL5"
"chr4",71587559,"NM_001037442","RUFY3"
"chr12",120907660,"NM_001037494","DYNLL1"
"chr6",49989694,"NM_001037497","DEFB110"
"chr6",50016364,"NM_001037498","DEFB112"
"chr6",49931818,"NM_001037499","DEFB114"
"chr20",30060816,"NM_001037500","DEFB124"
"chr1",148346929,"NM_001037501","NBPF8"
"chr1",144614959,"NM_001037501","NBPF8"
"chrX",17755569,"NM_001037535","SCML1"
"chr10",13341746,"NM_001037537","PHYH"
"chr21",45345279,"NM_001037553","AGPAT3"
"chr11",124789146,"NM_001037558","HEPN1"
"chr4",83720010,"NM_001037582","SCD5"
"chr2",204732511,"NM_001037631","CTLA4"
"chr5",138534065,"NM_001037633","SIL1"
"chr5",72794250,"NM_001037637","BTF3"
"chr3",183602693,"NM_001037639","PARL"
"chr2",207024318,"NM_001037663","EEF1B2"
"chr22",30685616,"NM_001037666","CASTOR1"
"chr8",7673238,"NM_001037668","DEFB107A"
"chr8",7353368,"NM_001037668","DEFB107A"
"chr1",144614959,"NM_001037675","NBPF9"
"chr6",49937338,"NM_001037729","DEFB113"
"chr20",29845467,"NM_001037730","DEFB115"
"chr20",29896388,"NM_001037731","DEFB116"
"chr20",170322,"NM_001037732","DEFB128"
"chrX",47930508,"NM_001037735","ZNF630"
"chr5",170814708,"NM_001037738","NPM1"
"chr7",7575460,"NM_001037763","COL28A1"
"chr18",44775554,"NM_001037802","SKOR2"
"chr8",12175825,"NM_001037804","DEFB130A"
"chr8",11929256,"NM_001037804","DEFB130A"
"chr12",50222208,"NM_001037806","NCKAP5L"
"chr16",28722738,"NM_001037808","EIF3C"
"chr16",28415209,"NM_001037808","EIF3C"
"chrX",53461323,"NM_001037811","HSD17B10"
"chr19",44576297,"NM_001037813","ZNF284"
"chr22",17489112,"NM_001037814","GAB4"
"chr2",110550335,"NM_001037866","RGPD6"
"chr2",111336309,"NM_001037866","RGPD6"
"chr2",100106480,"NM_001037872","REV1"
"chr11",111807927,"NM_001037954","DIXDC1"
"chr17",79269139,"NM_001037984","SLC38A10"
"chr12",6484905,"NM_001038","SCNN1A"
"chr2",172950208,"NM_001038493","DLX1"
"chr5",68710939,"NM_001038603","MARVELD2"
"chr17",80416060,"NM_001038618","NARF"
"chr3",160823160,"NM_001038628","B3GALNT1"
"chr1",38100595,"NM_001038633","RSPO1"
"chr15",74374891,"NM_001038640","GOLGA6A"
"chr5",130599702,"NM_001038702","CDC42SE2"
"chr17",56621733,"NM_001038704","SEPTIN4"
"chr3",154147504,"NM_001038705","GPR149"
"chr1",151032125,"NM_001038707","CDC42SE1"
"chr16",23194040,"NM_001039","SCNN1G"
"chr12",1929433,"NM_001039029","LRTM2"
"chr17",44439134,"NM_001039083","ARL17B"
"chrX",12809474,"NM_001039091","PRPS2"
"chr3",32859510,"NM_001039111","TRIM71"
"chr8",124864227,"NM_001039112","FER1L6"
"chr4",53193,"NM_001039127","ZNF718"
"chr17",7942358,"NM_001039130","ALOX15B"
"chr19",10397643,"NM_001039132","ICAM4"
"chr20",3748452,"NM_001039140","C20orf27"
"chr22",38092995,"NM_001039141","TRIOBP"
"chr1",192286122,"NM_001039152","RGS21"
"chr11",3253616,"NM_001039165","MRGPRE"
"chr16",30205627,"NM_001039182","BOLA2B"
"chr16",29466285,"NM_001039182","BOLA2B"
"chr20",43104526,"NM_001039199","TTPAL"
"chrX",110924346,"NM_001039210","ALG13"
"chr1",1385069,"NM_001039211","ATAD3C"
"chr19",45202421,"NM_001039213","CEACAM16"
"chr2",56151298,"NM_001039348","EFEMP1"
"chr7",153584182,"NM_001039350","DPP6"
"chr14",100772884,"NM_001039355","SLC25A29"
"chr18",45663680,"NM_001039360","ZBTB7C"
"chr1",13629925,"NM_001039361","PRAMEF10"
"chr1",13409128,"NM_001039361","PRAMEF10"
"chr2",10861775,"NM_001039362","ATP6V1C2"
"chr22",18111588,"NM_001039366","ATP6V1E1"
"chr7",92855832,"NM_001039372","HEPACAM2"
"chr9",139690790,"NM_001039374","CCDC183"
"chr20",13765672,"NM_001039375","NDUFAF5"
"chr10",45496358,"NM_001039380","ZNF22-AS1"
"chr9",4666674,"NM_001039395","SPATA6L"
"chr11",58980494,"NM_001039396","MPEG1"
"chr17",18547740,"NM_001039397","TBC1D28"
"chr1",44440320,"NM_001039457","ATP6V0B"
"chr7",37024717,"NM_001039459","ELMO1"
"chr1",55107413,"NM_001039464","MROH7"
"chr14",70233829,"NM_001039465","SRSF5"
"chr20",62711324,"NM_001039467","RGS19"
"chr11",63606400,"NM_001039469","MARK2"
"chr16",188697,"NM_001039476","NPRL3"
"chr1",28199054,"NM_001039477","THEMIS2"
"chr14",75179807,"NM_001039479","AREL1"
"chr12",22778076,"NM_001039481","ETNK1"
"chr11",832952,"NM_001039490","CD151"
"chr2",106015575,"NM_001039492","FHL2"
"chr11",64067863,"NM_001039496","CATSPERZ"
"chr1",20617412,"NM_001039500","VWA5B1"
"chr16",31100130,"NM_001039503","PRSS53"
"chr20",1638425,"NM_001039508","SIRPG"
"chr18",47901392,"NM_001039535","SKA1"
"chr2",210288771,"NM_001039538","MAP2"
"chr3",141944449,"NM_001039547","GK5"
"chr11",75141674,"NM_001039548","KLHL35"
"chr2",220144040,"NM_001039550","DNAJB2"
"chrY",22917954,"NM_001039567","RPS4Y2"
"chr2",224702319,"NM_001039569","AP1S3"
"chr22",29469066,"NM_001039570","KREMEN1"
"chr17",75137005,"NM_001039573","SEC14L1"
"chr1",110753336,"NM_001039574","KCNC4"
"chr1",1334718,"NM_001039577","CCNL2"
"chr4",156298122,"NM_001039580","MAP9"
"chrX",152939816,"NM_001039582","PNCK"
"chr22",38453262,"NM_001039583","PICK1"
"chr1",44435653,"NM_001039589","DPH2"
"chrX",40944888,"NM_001039590","USP9X"
"chr9",35812259,"NM_001039592","SPAG8"
"chr2",9614670,"NM_001039613","IAH1"
"chr15",74043816,"NM_001039614","INSYN1"
"chr8",11946847,"NM_001039615","ZNF705D"
"chr3",195938300,"NM_001039617","ZDHHC19"
"chr11",85376182,"NM_001039618","CREBZF"
"chr14",23398794,"NM_001039619","PRMT5"
"chr13",20437776,"NM_001039649","ZMYM5"
"chr6",31730773,"NM_001039651","SAPCD1"
"chr11",68518988,"NM_001039656","TESMIN"
"chr11",71709958,"NM_001039659","IL18BP"
"chr11",126152982,"NM_001039661","TIRAP"
"chr1",6526255,"NM_001039664","TNFRSF25"
"chr19",8429011,"NM_001039667","ANGPTL4"
"chr12",6665249,"NM_001039670","IFFO1"
"chr15",91473410,"NM_001039675","UNC45A"
"chr16",69166493,"NM_001039690","CHTF8"
"chr2",200820459,"NM_001039693","TYW5"
"chr9",15422782,"NM_001039697","SNAPC3"
"chr10",15085895,"NM_001039702","OLAH"
"chr1",145293371,"NM_001039703","NBPF10"
"chrX",54946996,"NM_001039705","TRO"
"chr7",89874488,"NM_001039706","CFAP69"
"chr9",139305054,"NM_001039707","ENTR1"
"chr1",161102478,"NM_001039711","DEDD"
"chr4",128886461,"NM_001039717","ABHD18"
"chr2",169659100,"NM_001039724","NOSTRIN"
"chr11",63057430,"NM_001039752","SLC22A10"
"chr2",54952149,"NM_001039753","EML6"
"chr10",128994422,"NM_001039762","INSYN2A"
"chr5",110062450,"NM_001039763","TMEM232"
"chr3",33138293,"NM_001039770","TMPPE"
"chr14",24898731,"NM_001039771","CBLN3"
"chr1",26680621,"NM_001039775","CRYBG2"
"chr5",132083137,"NM_001039780","CCNI2"
"chr3",126327398,"NM_001039783","TXNRD3"
"chr9",35906189,"NM_001039792","HRCT1"
"chr1",22379120,"NM_001039802","CDC42"
"chr9",90589695,"NM_001039803","CDK20"
"chrX",72782984,"NM_001039840","CHIC1"
"chr15",30918879,"NM_001039841","ARHGAP11B"
"chr17",79633667,"NM_001039842","OXLD1"
"chr10",15130775,"NM_001039844","ACBD7"
"chr2",207630273,"NM_001039845","MDH1B"
"chr19",1103925,"NM_001039847","GPX4"
"chr19",36499672,"NM_001039876","SYNE4"
"chr19",47249720,"NM_001039877","STRN4"
"chr19",47249303,"NM_001039885","FKRP"
"chr19",53030909,"NM_001039886","ZNF808"
"chr19",36249044,"NM_001039887","PROSER3"
"chr1",145470508,"NM_001039888","ANKRD34A"
"chrX",46404892,"NM_001039891","ZNF674"
"chr15",40545110,"NM_001039905","PAK6-AS1"
"chr7",29519328,"NM_001039936","CHN2"
"chr13",52027275,"NM_001039937","INTS6"
"chr22",25202188,"NM_001039948","SGSM1"
"chr15",90319589,"NM_001039958","MESP2"
"chr12",51818594,"NM_001039960","SLC4A8"
"chr11",18813389,"NM_001039970","PTPN5"
"chr17",18908060,"NM_001039999","FAM83G"
"chr17",7533412,"NM_001040","SHBG"
"chr6",168227671,"NM_001040000","AFDN"
"chr17",41739262,"NM_001040002","MEOX1"
"chr5",145826873,"NM_001040006","TCERG1"
"chr9",131038425,"NM_001040011","SWI5"
"chr7",121036422,"NM_001040020","FAM3C"
"chr20",1874813,"NM_001040022","SIRPA"
"chr17",79650954,"NM_001040025","ARL16"
"chr19",49838677,"NM_001040031","CD37"
"chr8",10530147,"NM_001040032","C8orf74"
"chr16",30134630,"NM_001040056","MAPK3"
"chr7",92219708,"NM_001040057","FAM133B"
"chr17",7482806,"NM_001040059","CD68"
"chr3",138666076,"NM_001040061","FOXL2NB"
"chr4",8951477,"NM_001040071","OR7E85BP"
"chr17",18380099,"NM_001040078","LGALS9C"
"chr10",48255204,"NM_001040084","ANXA8"
"chr10",47174143,"NM_001040084","ANXA8"
"chr8",120651106,"NM_001040092","ENPP2"
"chr7",100209725,"NM_001040097","MOSPD3"
"chr3",161089871,"NM_001040100","SPTSSB"
"chr4",4387983,"NM_001040101","NSG1"
"chr10",98119122,"NM_001040102","OPALIN"
"chr12",111127617,"NM_001040107","HVCN1"
"chr14",75518235,"NM_001040108","MLH3"
"chr6",33771793,"NM_001040109","MLN"
"chr7",129269919,"NM_001040110","NRF1"
"chr16",15950887,"NM_001040113","MYH11"
"chr11",72463434,"NM_001040118","ARAP1"
"chr1",19638740,"NM_001040125","SLC66A1"
"chr5",147648423,"NM_001040129","SPINK13"
"chr19",708953,"NM_001040134","PALM"
"chr7",152456834,"NM_001040135","ACTR3B"
"chr16",66586466,"NM_001040138","CKLF"
"chr2",166095912,"NM_001040142","SCN2A"
"chr18",61420281,"NM_001040147","SERPINB7"
"chr11",123525315,"NM_001040151","SCN3B"
"chr7",94285637,"NM_001040152","PEG10"
"chr13",78273016,"NM_001040153","SLAIN1"
"chr4",175204828,"NM_001040157","CEP44"
"chr5",134734928,"NM_001040158","MACROH2A1"
"chr4",168155741,"NM_001040159","SPOCK3"
"chr16",686366,"NM_001040160","METTL26"
"chr7",2559479,"NM_001040167","LFNG"
"chr10",4868369,"NM_001040177","AKR1E2"
"chr6",100442099,"NM_001040179","MCHR2"
"chr3",98241910,"NM_001040181","CLDND1"
"chr19",53898397,"NM_001040185","ZNF765"
"chr21",34864030,"NM_001040192","DNAJC28"
"chr1",11796142,"NM_001040194","AGTRAP"
"chr4",79860582,"NM_001040202","PAQR3"
"chr6",124124991,"NM_001040214","NKAIN2"
"chr1",150979385,"NM_001040217","MINDY1"
"chr4",150999426,"NM_001040260","DCLK2"
"chr9",18474079,"NM_001040272","ADAMTSL1"
"chr10",71906496,"NM_001040273","TYSND1"
"chr6",10887064,"NM_001040274","SYCP2L"
"chr14",64761128,"NM_001040275","ESR2"
"chr6",14117865,"NM_001040280","CD83"
"chr19",42349086,"NM_001040283","DMRTC2"
"chr16",50186829,"NM_001040284","TENT4B"
"chr4",52709166,"NM_001040402","DCUN1D4"
"chr9",35042205,"NM_001040410","C9orf131"
"chr21",43299591,"NM_001040424","PRDM15"
"chr19",36236343,"NM_001040425","U2AF1L4"
"chr16",1877195,"NM_001040427","HAGH"
"chr14",88851988,"NM_001040428","SPATA7"
"chr13",58205789,"NM_001040429","PCDH17"
"chr17",40950743,"NM_001040431","COA3"
"chr3",28390640,"NM_001040432","ZCWPW2"
"chr5",147715122,"NM_001040433","SPINK9"
"chr12",32908887,"NM_001040436","YARS2"
"chr6",31802692,"NM_001040437","SNHG32"
"chr16",1756221,"NM_001040439","MAPK8IP3"
"chr5",114632458,"NM_001040440","CCDC112"
"chr1",33004746,"NM_001040441","ZBTB8A"
"chr5",159626048,"NM_001040442","FABP6"
"chr13",50069801,"NM_001040443","PHF11"
"chr2",239335626,"NM_001040445","ASB1"
"chr5",32313114,"NM_001040446","MTMR12"
"chr4",9446260,"NM_001040448","DEFB131A"
"chr15",59063393,"NM_001040450","MINDY2"
"chr5",178986693,"NM_001040451","RUFY1"
"chr3",48671279,"NM_001040454","SLC26A6"
"chr11",117049939,"NM_001040455","SIDT2"
"chr7",75508317,"NM_001040456","RHBDD2"
"chr5",96143892,"NM_001040458","ERAP1"
"chr5",180326077,"NM_001040462","BTNL8"
"chr15",82555104,"NM_001040610","EFL1"
"chr8",74888377,"NM_001040613","TMEM70"
"chr1",111833474,"NM_001040623","CHIA"
"chr8",103136562,"NM_001040624","NCALD"
"chr7",151511957,"NM_001040633","PRKAG2"
"chr7",65579805,"NM_001040647","CRCP"
"chr2",264869,"NM_001040649","ACP1"
"chr3",126194762,"NM_001040653","ZXDC"
"chr7",5322561,"NM_001040661","SLC29A4"
"chr14",50583297,"NM_001040662","VCPKMT"
"chrX",49363616,"NM_001040663","GAGE1"
"chr19",10216899,"NM_001040664","PPAN-P2RY11"
"chr7",89841174,"NM_001040665","STEAP2"
"chr16",67197288,"NM_001040667","HSF4"
"chr19",50168399,"NM_001040668","BCL2L12"
"chr11",61891445,"NM_001040694","INCENP"
"chr11",18610293,"NM_001040697","UEVLD"
"chr8",7332604,"NM_001040702","DEFB104B"
"chr8",7693993,"NM_001040702","DEFB104B"
"chr8",7681412,"NM_001040703","DEFB105B"
"chr8",7345191,"NM_001040703","DEFB105B"
"chr8",7682694,"NM_001040704","DEFB106B"
"chr8",7343909,"NM_001040704","DEFB106B"
"chr8",7673238,"NM_001040705","DEFB107B"
"chr8",7353368,"NM_001040705","DEFB107B"
"chr8",80680098,"NM_001040708","HEY1"
"chr2",24397912,"NM_001040710","FAM228A"
"chr9",8733946,"NM_001040712","PTPRD"
"chr16",67217883,"NM_001040715","MATCAP1"
"chr1",149814318,"NM_001040874","H2AC19"
"chr1",149822628,"NM_001040874","H2AC19"
"chr8",75262618,"NM_001040875","GDAP1"
"chr4",146019156,"NM_001040876","ABCE1"
"chr3",164796283,"NM_001041","SI"
"chr17",7185054,"NM_001042","SLC2A4"
"chr20",814340,"NM_001042353","FAM110A"
"chr16",50775961,"NM_001042355","CYLD"
"chr10",48806985,"NM_001042357","PTPN20"
"chr10",46620058,"NM_001042357","PTPN20"
"chr15",73735499,"NM_001042367","REC114"
"chr9",136024607,"NM_001042368","RALGDS"
"chr1",193029004,"NM_001042369","RO60"
"chr16",2264822,"NM_001042371","PGP"
"chr11",2182439,"NM_001042376","INS-IGF2"
"chr3",134204575,"NM_001042383","CEP63"
"chr2",44586888,"NM_001042385","PREPL"
"chr18",9614605,"NM_001042388","PPP4R1"
"chr12",94853764,"NM_001042399","CEP83"
"chr4",76862166,"NM_001042402","NAAA"
"chr12",95942620,"NM_001042403","USP44"
"chr1",243418708,"NM_001042404","CEP170"
"chr6",55444012,"NM_001042406","HMGCLL1"
"chr2",220094610,"NM_001042410","ANKZF1"
"chr9",4300035,"NM_001042413","GLIS3"
"chr13",20357159,"NM_001042414","PSPC1"
"chr8",182460,"NM_001042415","ZNF596"
"chr10",70167051,"NM_001042417","RUFY2"
"chr17",80186282,"NM_001042422","SLC16A3"
"chr4",1873123,"NM_001042424","NSD2"
"chr2",27008883,"NM_001042426","CENPA"
"chr10",50887684,"NM_001042427","C10orf53"
"chr16",3162563,"NM_001042428","ZNF205"
"chr14",75536280,"NM_001042430","ZC2HC1C"
"chr2",86094793,"NM_001042437","ST3GAL5"
"chr20",31805116,"NM_001042439","BPIFA3"
"chr5",95997861,"NM_001042440","CAST"
"chr17",18855478,"NM_001042450","SLC5A10"
"chrX",131157636,"NM_001042452","STK26"
"chr16",31483476,"NM_001042454","TGFB1I1"
"chr3",99833357,"NM_001042459","FILIP1L"
"chr19",7745707,"NM_001042461","TRAPPC5"
"chr11",695591,"NM_001042463","TMEM80"
"chr10",73611082,"NM_001042465","PSAP"
"chr2",238395862,"NM_001042467","MLPH"
"chr17",38074903,"NM_001042471","GSDMB"
"chr20",25371618,"NM_001042472","ABHD12"
"chr10",27531068,"NM_001042473","ACBD5"
"chr19",36705986,"NM_001042474","ZNF565"
"chr6",118973020,"NM_001042475","CEP85L"
"chr16",8962258,"NM_001042476","CARHSP1"
"chr1",4715105,"NM_001042478","AJAP1"
"chrX",14048035,"NM_001042479","GEMIN8"
"chr14",51955839,"NM_001042481","FRMD6"
"chr7",144533146,"NM_001042482","TPK1"
"chr16",28550495,"NM_001042483","NUPR1"
"chr20",35089818,"NM_001042486","DLGAP4"
"chr5",68856074,"NM_001042490","GTF2H2C_2"
"chr6",88032306,"NM_001042493","SMIM8"
"chr15",34629961,"NM_001042494","SLC12A6"
"chr8",6875823,"NM_001042500","DEFA1B"
"chr8",6856724,"NM_001042500","DEFA1B"
"chr8",6837614,"NM_001042500","DEFA1B"
"chrX",72223352,"NM_001042506","PABPC1L2B"
"chr19",39279850,"NM_001042507","LGALS7B"
"chr8",102217960,"NM_001042510","ZNF706"
"chr13",60738119,"NM_001042517","DIAPH3"
"chr14",94942670,"NM_001042518","SERPINA9"
"chr2",191045589,"NM_001042519","C2orf88"
"chr17",40714092,"NM_001042529","COASY"
"chr3",97691295,"NM_001042533","RIOX2"
"chr7",150783509,"NM_001042535","AGAP3"
"chrX",135067586,"NM_001042537","SLC9A6"
"chr16",29817858,"NM_001042539","MAZ"
"chr3",196669464,"NM_001042540","NCBP2"
"chr4",175750466,"NM_001042543","GLRA3"
"chr19",41103141,"NM_001042544","LTBP4"
"chr1",47134099,"NM_001042546","ATPAF1"
"chr2",36825332,"NM_001042548","FEZ2"
"chr1",212965139,"NM_001042549","NSL1"
"chr9",106856831,"NM_001042550","SMC2"
"chr1",212965170,"NM_001042552","TATDN3"
"chr12",69864129,"NM_001042555","FRS2"
"chr11",10830582,"NM_001042559","EIF4G2"
"chr15",93443551,"NM_001042572","CHD2"
"chr17",77071019,"NM_001042573","ENGASE"
"chr15",91073118,"NM_001042574","CRTC3"
"chr3",111758465,"NM_001042575","TMPRSS7"
"chr20",17662928,"NM_001042576","RRBP1"
"chr15",75918446,"NM_001042581","SNUPN"
"chr1",158323486,"NM_001042583","CD1E"
"chr9",35829222,"NM_001042589","TMEM8B"
"chr7",124570037,"NM_001042594","POT1"
"chr19",41883169,"NM_001042595","TMEM91"
"chr2",213403352,"NM_001042599","ERBB4"
"chr19",39108675,"NM_001042600","MAP4K1"
"chr3",180319918,"NM_001042601","TTC14"
"chr12",498621,"NM_001042603","KDM5A"
"chr16",90085963,"NM_001042610","DBNDD1"
"chr4",89444952,"NM_001042616","PIGY"
"chr14",20811773,"NM_001042618","PARP2"
"chr5",35938737,"NM_001042625","CAPSL"
"chr19",36486090,"NM_001042631","SDHAF1"
"chr20",44462470,"NM_001042632","SNX21"
"chr14",23938898,"NM_001042635","NGDN"
"chr3",42132746,"NM_001042646","TRAK1"
"chr1",6557484,"NM_001042663","PLEKHG5"
"chr1",113250025,"NM_001042678","RHOC"
"chr1",8877699,"NM_001042681","RERE"
"chr6",146285233,"NM_001042683","SHPRH"
"chr17",20370848,"NM_001042685","LGALS9B"
"chr2",63665141,"NM_001042692","WDPCP"
"chr1",53099066,"NM_001042693","SHISAL2A"
"chr17",15903006,"NM_001042697","ZSWIM7"
"chr2",179316163,"NM_001042702","PJVK"
"chr1",16348486,"NM_001042704","CLCNKA"
"chr3",158787041,"NM_001042705","IQCJ"
"chr7",89975979,"NM_001042717","GTPBP10"
"chr19",45349393,"NM_001042724","NECTIN2"
"chr1",27953106,"NM_001042729","FGR"
"chr4",110354928,"NM_001042734","SEC24B"
"chrX",123094410,"NM_001042749","STAG2"
"chr7",50518088,"NM_001042762","FIGNL1"
"chr1",32739712,"NM_001042771","LCK"
"chr11",1940799,"NM_001042780","TNNT3"
"chr4",77328458,"NM_001042784","CCDC158"
"chr16",55690352,"NM_001043","SLC6A2"
"chr11",62432779,"NM_001043229","CSKMT"
"chr14",74253961,"NM_001043318","MIDEAS"
"chr1",154155725,"NM_001043351","TPM3"
"chr5",1445543,"NM_001044","SLC6A3"
"chr9",35754274,"NM_001044264","MSMP"
"chr6",71377474,"NM_001044305","SMAP1"
"chr18",72124503,"NM_001044369","DIPK1C"
"chr22",43808020,"NM_001044370","MPPED1"
"chr2",202508252,"NM_001044385","TMEM237"
"chr19",7069471,"NM_001044387","ZNF557"
"chr17",28562986,"NM_001045","SLC6A4"
"chr9",127615696,"NM_001045476","WDR38"
"chr1",153412503,"NM_001045479","S100A7L2"
"chr8",134115310,"NM_001045556","SLA"
"chr5",127419483,"NM_001046","SLC12A2"
"chr5",6633500,"NM_001047","SRD5A1"
"chr10",5454514,"NM_001047160","NET1"
"chr3",16306496,"NM_001047434","DPH3"
"chr1",120387503,"NM_001047980","NBPF7P"
"chr3",187388201,"NM_001048","SST"
"chrX",70150975,"NM_001048164","SLC7A3"
"chr1",47779819,"NM_001048166","STIL"
"chr1",45806142,"NM_001048171","MUTYH"
"chrX",153485203,"NM_001048181","OPN1MW2"
"chrX",153448085,"NM_001048181","OPN1MW2"
"chr1",28696093,"NM_001048183","PHACTR4"
"chr1",28844745,"NM_001048194","RCC1"
"chr11",33278868,"NM_001048200","HIPK3"
"chr19",4909442,"NM_001048201","UHRF1"
"chr14",24641234,"NM_001048205","REC8"
"chr11",131240371,"NM_001048209","NTM"
"chr1",109506121,"NM_001048210","CLCC1"
"chr16",2581409,"NM_001048212","CEMP1"
"chr11",65292548,"NM_001048218","SCYL1"
"chr20",44034655,"NM_001048221","DBNDD2"
"chr19",9938556,"NM_001048241","UBL5"
"chr5",60458302,"NM_001048249","SMIM15"
"chr5",126984713,"NM_001048252","CTXN3"
"chr9",138391761,"NM_001048265","PIERCE1"
"chr14",38677204,"NM_001049","SSTR1"
"chr17",71161160,"NM_001050","SSTR2"
"chr22",37608416,"NM_001051","SSTR3"
"chr20",23016057,"NM_001052","SSTR4"
"chr16",1128781,"NM_001053","SSTR5"
"chr16",28608391,"NM_001054","SULT1A2"
"chr16",28621365,"NM_001055","SULT1A1"
"chr2",108905095,"NM_001056","SULT1C2"
"chr10",71176674,"NM_001057","TACR2"
"chr2",75426645,"NM_001058","TACR1"
"chr4",104640973,"NM_001059","TACR3"
"chr19",3606831,"NM_001060","TBXA2R"
"chr7",139528952,"NM_001061","TBXAS1"
"chr11",59634041,"NM_001062","TCN1"
"chr3",133464977,"NM_001063","TF"
"chr3",53290130,"NM_001064","TKT"
"chr12",6451283,"NM_001065","TNFRSF1A"
"chr1",12227060,"NM_001066","TNFRSF1B"
"chr17",38574202,"NM_001067","TOP2A"
"chr3",25705863,"NM_001068","TOP2B"
"chr6",3157783,"NM_001069","TUBB2A"
"chr17",40761358,"NM_001070","TUBG1"
"chr18",657604,"NM_001071","TYMS"
"chr13",73301938,"NM_001071775","MZT1"
"chr2",234601512,"NM_001072","UGT1A6"
"chr4",70080449,"NM_001073","UGT2B11"
"chr4",69962193,"NM_001074","UGT2B7"
"chr4",69886115,"NM_001075","UGT2B10"
"chr4",69681711,"NM_001075","UGT2B10"
"chr6",39902290,"NM_001075098","MOCS1"
"chr17",46507594,"NM_001075099","SKAP1"
"chr4",69536494,"NM_001076","UGT2B15"
"chr20",33464328,"NM_001076552","ACSS2"
"chr17",42264354,"NM_001076674","TMUB2"
"chr19",20844402,"NM_001076675","ZNF626"
"chr9",36190853,"NM_001076677","CLTA"
"chr19",21579921,"NM_001076678","ZNF493"
"chr17",26220409,"NM_001076680","LYRM9"
"chr17",42298250,"NM_001076683","UBTF"
"chr3",58563491,"NM_001076778","FAM107A"
"chr16",81253975,"NM_001076780","PKD1L2"
"chr16",68298419,"NM_001076785","SLC7A6"
"chr11",32914724,"NM_001076786","QSER1"
"chr4",69434245,"NM_001077","UGT2B17"
"chr16",21610797,"NM_001077180","METTL9"
"chr9",99329203,"NM_001077181","CDC14B"
"chr17",79495417,"NM_001077182","FSCN2"
"chr19",50706885,"NM_001077186","MYH14"
"chrX",132095423,"NM_001077188","HS6ST2"
"chr2",219125738,"NM_001077191","GPBAR1"
"chr1",23696357,"NM_001077195","ZNF436"
"chr2",178753466,"NM_001077196","PDE11A"
"chr2",220094410,"NM_001077198","ATG9A"
"chr5",65440046,"NM_001077199","SREK1"
"chr3",101232085,"NM_001077203","SENP7"
"chr4",83812412,"NM_001077206","SEC31A"
"chr19",2328629,"NM_001077238","SPPL2B"
"chr11",117103452,"NM_001077239","RNF214"
"chr11",65150145,"NM_001077241","SLC25A45"
"chr11",33037410,"NM_001077242","DEPDC7"
"chr12",125052010,"NM_001077261","NCOR2"
"chr1",26633195,"NM_001077262","UBXN11"
"chr11",117800168,"NM_001077263","TMPRSS13"
"chr15",41099274,"NM_001077268","ZFYVE19"
"chr2",175547627,"NM_001077269","WIPF1"
"chr19",20150064,"NM_001077349","ZNF682"
"chr14",23388396,"NM_001077351","RBM23"
"chr9",134378289,"NM_001077365","POMT1"
"chr1",101491362,"NM_001077394","DPH5"
"chr1",234745271,"NM_001077397","IRF2BP2"
"chr2",219135115,"NM_001077399","PNKD"
"chr16",75590184,"NM_001077416","TMEM231"
"chr19",58281020,"NM_001077426","ZNF586"
"chr2",133429070,"NM_001077427","LYPD1"
